eid,globTime
55,318.374
55,318.374
55,318.374
55,318.374
55,318.374
55,318.374
55,318.374
55,318.374
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
58,1995.32
61,1256.38
61,1256.38
61,1256.38
61,1256.38
61,1256.38
61,1256.38
61,1256.39
61,1256.39
61,1256.39
61,1256.39
61,1256.39
61,1256.39
64,10339.6
64,10339.6
64,10339.6
64,10339.6
64,10339.6
64,10339.6
65,816.593
65,816.593
65,816.593
65,816.593
65,816.593
66,1620.36
66,1620.36
66,1620.36
66,1620.36
66,1620.36
66,1620.36
66,1620.36
66,1620.36
66,1620.36
66,1620.36
66,1620.36
70,7395.33
70,7395.33
70,7395.33
70,7395.33
70,7395.33
72,583.201
72,583.201
72,583.201
72,583.202
72,583.202
86,5801.36
86,5801.36
86,5801.36
86,5801.36
86,5801.36
86,5801.36
86,5801.36
88,3406.6
88,3406.6
88,3406.6
88,3406.6
88,3406.6
88,3406.6
88,3406.6
88,3406.6
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
89,1415.28
91,230.546
91,230.546
91,230.546
91,230.546
91,230.547
91,230.547
91,230.547
91,230.547
92,5604.78
92,5604.78
92,5604.78
92,5604.78
92,5604.78
92,5604.78
93,134.054
93,134.054
93,134.054
93,134.054
93,134.055
93,134.055
93,134.055
93,134.055
96,459.377
96,459.377
96,459.377
96,459.377
96,459.377
96,459.377
96,459.377
96,459.377
96,459.377
97,111.951
97,111.951
97,111.951
97,111.952
97,111.952
97,111.952
97,111.952
98,1241.56
98,1241.56
98,1241.56
98,1241.56
98,1241.56
98,1241.56
98,1241.56
98,1241.56
100,490.096
100,490.096
100,490.096
100,490.096
100,490.096
100,490.096
100,490.096
100,490.096
103,1109.55
103,1109.55
103,1109.55
103,1109.55
103,1109.55
104,2031.77
104,2031.77
104,2031.77
104,2031.77
104,2031.77
104,2031.77
104,2031.77
108,9579.79
108,9579.79
108,9579.79
108,9579.79
108,9579.79
108,9579.79
111,1586.83
111,1586.83
111,1586.83
111,1586.83
111,1586.83
111,1586.83
112,979.638
112,979.638
112,979.639
112,979.639
112,979.639
115,6864.51
115,6864.51
115,6864.51
115,6864.51
115,6864.51
115,6864.51
115,6864.51
115,6864.51
118,2453.73
118,2453.73
118,2453.73
118,2453.73
118,2453.73
118,2453.73
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
120,2839.57
123,7076.14
123,7076.14
123,7076.14
123,7076.14
123,7076.14
130,3621.42
130,3621.42
130,3621.42
130,3621.42
130,3621.42
130,3621.42
130,3621.42
130,3621.42
131,2917.03
131,2917.03
131,2917.03
131,2917.03
131,2917.03
131,2917.03
131,2917.03
131,2917.03
136,1069.74
136,1069.74
136,1069.74
136,1069.74
136,1069.74
136,1069.74
136,1069.74
136,1069.74
136,1069.74
136,1069.74
138,563.476
138,563.477
138,563.477
138,563.477
138,563.477
138,563.478
138,563.478
138,563.478
138,563.478
138,563.478
138,563.478
138,563.478
140,2724.34
140,2724.34
140,2724.34
140,2724.34
140,2724.34
140,2724.34
140,2724.34
140,2724.34
140,2724.34
142,3804.11
142,3804.11
142,3804.11
142,3804.11
142,3804.11
142,3804.11
143,1711.64
143,1711.64
143,1711.64
143,1711.64
143,1711.64
143,1711.64
145,3276.6
145,3276.6
145,3276.6
145,3276.6
145,3276.6
145,3276.6
145,3276.6
145,3276.6
146,2001
146,2001
146,2001
146,2001
146,2001
146,2001
146,2001
146,2001
147,1981.79
147,1981.79
147,1981.79
147,1981.79
147,1981.79
147,1981.79
147,1981.79
147,1981.79
147,1981.79
147,1981.79
147,1981.79
147,1981.79
150,3260.03
150,3260.03
150,3260.03
150,3260.03
150,3260.03
150,3260.03
150,3260.03
153,1203.85
153,1203.85
153,1203.85
153,1203.85
153,1203.85
153,1203.85
156,763.713
156,763.713
156,763.713
156,763.713
156,763.713
156,763.713
156,763.713
156,763.713
157,226.273
157,226.273
157,226.273
157,226.273
157,226.273
157,226.273
157,226.273
158,3464.61
158,3464.61
158,3464.61
158,3464.61
158,3464.61
158,3464.61
161,1128.81
161,1128.81
161,1128.81
